{'time': 1.0373930931091309, 'x': -2.199487631030426, 'y': -0.040991415459948444, 'z': 0.7497615959452106, 'yaw': 0.0025608795374243588, 'velocity': 0.0007938227896531608, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0473835468292236, 'x': -2.199479537765243, 'y': -0.04098337718666834, 'z': 0.7497413012937096, 'yaw': 0.00341895156223361, 'velocity': 0.002590630180810487, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0576143264770508, 'x': -2.199485184307124, 'y': -0.04096511602425023, 'z': 0.749760832950487, 'yaw': 0.0028348994618414445, 'velocity': 0.0026711900843469304, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0674717426300049, 'x': -2.199483274756546, 'y': -0.040991325970017874, 'z': 0.749775061917259, 'yaw': 0.0027483028902874082, 'velocity': 0.003031656099779843, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0773863792419434, 'x': -2.199476991930057, 'y': -0.04097587428471031, 'z': 0.7497653014433948, 'yaw': 0.0033511555725592476, 'velocity': 0.0019492421378229465, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0873780250549316, 'x': -2.1994725555649617, 'y': -0.04097554280199893, 'z': 0.7497527159495585, 'yaw': 0.0026245827309522986, 'velocity': 0.001335978908012437, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0982236862182617, 'x': -2.1995236190116003, 'y': -0.041111714070681336, 'z': 0.7497821848021793, 'yaw': 0.00020749327421439698, 'velocity': 0.013681630738299354, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1082332134246826, 'x': -2.199481015523708, 'y': -0.04097814393094724, 'z': 0.7497534593958565, 'yaw': 0.003040524592537652, 'velocity': 0.014297628606108516, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1177277565002441, 'x': -2.1994970663922997, 'y': -0.040954691716022715, 'z': 0.749762865758438, 'yaw': 0.002936263221833915, 'velocity': 0.003152885139001397, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1281301975250244, 'x': -2.1994863499863633, 'y': -0.04097683172855951, 'z': 0.749759214781076, 'yaw': 0.0030028155142979417, 'velocity': 0.002390464635125996, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1370959281921387, 'x': -2.1994728980338554, 'y': -0.04096507151828565, 'z': 0.7497543022544011, 'yaw': 0.0031294746419531414, 'velocity': 0.0020668475458016774, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1430761814117432, 'x': -2.199480872164768, 'y': -0.04098839376644747, 'z': 0.7497491105612254, 'yaw': 0.0027172114094381103, 'velocity': 0.004211969189243126, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1540398597717285, 'x': -2.199489823823006, 'y': -0.0409763616851174, 'z': 0.7497776703833462, 'yaw': 0.002813664774628936, 'velocity': 0.0029422437971707177, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1680023670196533, 'x': -2.1994764441062555, 'y': -0.041003738271485, 'z': 0.7497669200489446, 'yaw': 0.0027127050929093566, 'velocity': 0.0029773558963889406, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.174015998840332, 'x': -2.1995058471636, 'y': -0.040960236666575826, 'z': 0.7498057608348411, 'yaw': 0.0023103251141997406, 'velocity': 0.010860503842487747, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1872601509094238, 'x': -2.1994835015752754, 'y': -0.04097599092188703, 'z': 0.7497693445756058, 'yaw': 0.002783924946553002, 'velocity': 0.004912884386372663, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1972332000732422, 'x': -2.1994777601502506, 'y': -0.040977376685324536, 'z': 0.7497562804364388, 'yaw': 0.002343944287585837, 'velocity': 0.0015998372374616695, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2072172164916992, 'x': -2.1994775095648897, 'y': -0.04095470177140819, 'z': 0.7497582509032704, 'yaw': 0.003057102606871598, 'velocity': 0.002279818946573987, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2172517776489258, 'x': -2.1994847274814364, 'y': -0.04096655522428228, 'z': 0.7497597653824644, 'yaw': 0.0029291272094821366, 'velocity': 0.0013912443891673889, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2232213020324707, 'x': -2.1994866167281066, 'y': -0.04098300696635119, 'z': 0.7497718427252315, 'yaw': 0.002621440115859149, 'velocity': 0.00343346086872201, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2384638786315918, 'x': -2.19946999134672, 'y': -0.04097310138054532, 'z': 0.7497648982879683, 'yaw': 0.003004247432788914, 'velocity': 0.0013489100269178627, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2475965023040771, 'x': -2.199481478871594, 'y': -0.040986694332268994, 'z': 0.7497643072222868, 'yaw': 0.0029311213527701166, 'velocity': 0.0019497974350747847, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2576191425323486, 'x': -2.1995127141674433, 'y': -0.04112009687219304, 'z': 0.749783029103141, 'yaw': 6.160736527822064e-05, 'velocity': 0.015182158599657021, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2636640071868896, 'x': -2.19952250085727, 'y': -0.04109854682676471, 'z': 0.7497725252899221, 'yaw': -1.164217542903856e-05, 'velocity': 0.004283682700262342, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2778599262237549, 'x': -2.199512700070235, 'y': -0.041123195648263215, 'z': 0.7497628621715825, 'yaw': -7.448507982754649e-05, 'velocity': 0.001988678007388348, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2836074829101562, 'x': -2.199487980864581, 'y': -0.04093545822618742, 'z': 0.7497391754582706, 'yaw': 0.0026346583342162543, 'velocity': 0.03320254992672088, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2935805320739746, 'x': -2.199492370775625, 'y': -0.04098825119874451, 'z': 0.7497580946605724, 'yaw': 0.0025720909433883314, 'velocity': 0.00940107020780986, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3074150085449219, 'x': -2.199468609079453, 'y': -0.040989814355394796, 'z': 0.7497487435515409, 'yaw': 0.0028900386501684327, 'velocity': 0.0018492418925152541, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3134222030639648, 'x': -2.1994780720729685, 'y': -0.04098207449759152, 'z': 0.7497542766998175, 'yaw': 0.002806500944067374, 'velocity': 0.0022338203007670285, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3273611068725586, 'x': -2.199466565390418, 'y': -0.040973295135641394, 'z': 0.7497795042277785, 'yaw': 0.002742869264138153, 'velocity': 0.002086571297998589, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3333442211151123, 'x': -2.1994828766274646, 'y': -0.040971917566999166, 'z': 0.7497497497066361, 'yaw': 0.0032381731398579434, 'velocity': 0.0056759838874732614, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3434052467346191, 'x': -2.199493652014561, 'y': -0.04096722573469747, 'z': 0.7497706785714936, 'yaw': 0.0028671227439477443, 'velocity': 0.00238573182620113, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3575375080108643, 'x': -2.1995261946565607, 'y': -0.04113335626416936, 'z': 0.7497657502890325, 'yaw': -0.00021453900826529093, 'velocity': 0.011983897540251462, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3634002208709717, 'x': -2.1995352290192782, 'y': -0.04112118238558893, 'z': 0.7497631823456702, 'yaw': 2.473402225906173e-05, 'velocity': 0.002622654367519012, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3775265216827393, 'x': -2.19952408991411, 'y': -0.04112033158643429, 'z': 0.7497636203257058, 'yaw': -0.00011419596431672119, 'velocity': 0.0007914408778990124, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.387495517730713, 'x': -2.1994742186239433, 'y': -0.04096451908351286, 'z': 0.749752712846391, 'yaw': 0.0029338915202225956, 'velocity': 0.016447228682566057, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.398101806640625, 'x': -2.1994879354237455, 'y': -0.04094726366132532, 'z': 0.7497771705113393, 'yaw': 0.002947837203801427, 'velocity': 0.003104321735983809, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4040858745574951, 'x': -2.1994687727132005, 'y': -0.04096445432252386, 'z': 0.7497609270029484, 'yaw': 0.0031376449412232866, 'velocity': 0.005086802981032903, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4171743392944336, 'x': -2.199475391916854, 'y': -0.040957202230474346, 'z': 0.7497594840066611, 'yaw': 0.0029744649326917056, 'velocity': 0.0009890683218509758, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.428163766860962, 'x': -2.1994818945576013, 'y': -0.04097870444865522, 'z': 0.7497652305846998, 'yaw': 0.002589745938332017, 'velocity': 0.0023207284258002824, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.437074899673462, 'x': -2.199489579139309, 'y': -0.04098428191884839, 'z': 0.7497569500433976, 'yaw': 0.002396719362097888, 'velocity': 0.0014138206237775052, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4470479488372803, 'x': -2.1994844240188525, 'y': -0.04096504959402539, 'z': 0.7497673199175677, 'yaw': 0.0029103200024145188, 'velocity': 0.0022510430862483738, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4571170806884766, 'x': -2.1994790820675325, 'y': -0.0409734037689354, 'z': 0.7497523734202933, 'yaw': 0.0029776175841918673, 'velocity': 0.0019772949808900234, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4680113792419434, 'x': -2.199496772909991, 'y': -0.04096282073779526, 'z': 0.7497685233601127, 'yaw': 0.003007209279874225, 'velocity': 0.002403783528389344, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4780151844024658, 'x': -2.1994766366306595, 'y': -0.04095762487021757, 'z': 0.749770215054609, 'yaw': 0.0032805468154024795, 'velocity': 0.002085659381151838, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4840004444122314, 'x': -2.1994870269749884, 'y': -0.04096054334090254, 'z': 0.7497626048877083, 'yaw': 0.0028846737475369515, 'velocity': 0.002206375716291571, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.498096227645874, 'x': -2.1995314069550447, 'y': -0.04112684812583856, 'z': 0.7497601183278166, 'yaw': 0.0001039675966537195, 'velocity': 0.012212341583782593, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5042474269866943, 'x': -2.1994812633234977, 'y': -0.04097738867851912, 'z': 0.7497651655545892, 'yaw': 0.0027793928893122743, 'velocity': 0.025641757971311012, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5142216682434082, 'x': -2.199463454690132, 'y': -0.04092444694902322, 'z': 0.7497278090999896, 'yaw': 0.0025918702844589998, 'velocity': 0.011236085065189647, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5231976509094238, 'x': -2.1994789343841323, 'y': -0.040964859714514246, 'z': 0.7497576464946011, 'yaw': 0.0029690920579662455, 'velocity': 0.005856186961627385, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5380632877349854, 'x': -2.1994754477751055, 'y': -0.04098104751846486, 'z': 0.7497623662712986, 'yaw': 0.0023164780893207, 'velocity': 0.0017260520515649412, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
