{'time': 1.2826778888702393, 'x': -2.204961418566639, 'y': -0.04297331273866787, 'z': 0.7498853648957223, 'yaw': 0.03472352288821311, 'velocity': 0.010751653512919528, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.292677640914917, 'x': -2.204896283495164, 'y': -0.042908015395315205, 'z': 0.7498007368708957, 'yaw': 0.03750180735125739, 'velocity': 0.012517587708424913, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3023650646209717, 'x': -2.2048864686986103, 'y': -0.042924384962302053, 'z': 0.7498171297371936, 'yaw': 0.03691504730004329, 'velocity': 0.002597168246558592, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3083674907684326, 'x': -2.204898085042769, 'y': -0.04291725577476203, 'z': 0.7499144109450533, 'yaw': 0.03790398898348634, 'velocity': 0.0163652742779293, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3227899074554443, 'x': -2.204939436464613, 'y': -0.042929728946957485, 'z': 0.7498554534668934, 'yaw': 0.03557132064214864, 'velocity': 0.007025812098884031, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3327651023864746, 'x': -2.2048973763467905, 'y': -0.042924239671351, 'z': 0.7498246731886904, 'yaw': 0.03666939304480639, 'velocity': 0.005253844332804503, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.342820167541504, 'x': -2.204967254806422, 'y': -0.042963196424291195, 'z': 0.7498785399189647, 'yaw': 0.03501481055299094, 'velocity': 0.009591999983054681, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.348778247833252, 'x': -2.2049142689401355, 'y': -0.04291332399498089, 'z': 0.7498009135926537, 'yaw': 0.037419160577783384, 'velocity': 0.017857823250366937, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.362743616104126, 'x': -2.2048910553517165, 'y': -0.04294011961242877, 'z': 0.7498340361487631, 'yaw': 0.03749743724984502, 'velocity': 0.004433229099275417, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3687245845794678, 'x': -2.2049361358283694, 'y': -0.04306736433651536, 'z': 0.7499009907141193, 'yaw': 0.03078141872500794, 'velocity': 0.025194309853363277, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3816921710968018, 'x': -2.2049026449048443, 'y': -0.042937568602992644, 'z': 0.7498368741005932, 'yaw': 0.03704171724790823, 'velocity': 0.016560091966832655, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3926844596862793, 'x': -2.2048846514336966, 'y': -0.042943474230342914, 'z': 0.7498424292931596, 'yaw': 0.037290006508547024, 'velocity': 0.001974240352824208, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4026644229888916, 'x': -2.2048785301613316, 'y': -0.04293498618989005, 'z': 0.749814463589479, 'yaw': 0.03643872584337916, 'velocity': 0.002991957702051931, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4126904010772705, 'x': -2.2048953050503983, 'y': -0.04291953166185736, 'z': 0.7497927467584852, 'yaw': 0.03710894194329519, 'velocity': 0.003477729894711871, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4229423999786377, 'x': -2.204889022178981, 'y': -0.042941393711399815, 'z': 0.7498064238853147, 'yaw': 0.03694728492006055, 'velocity': 0.002588976385820704, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4329421520233154, 'x': -2.204885413108352, 'y': -0.042925590919940505, 'z': 0.7498327649953473, 'yaw': 0.03711484370389392, 'velocity': 0.0030929842020627598, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4420194625854492, 'x': -2.2049008423920107, 'y': -0.04292467048448748, 'z': 0.7498346615008699, 'yaw': 0.037664634359881766, 'velocity': 0.0017155552235850926, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4529519081115723, 'x': -2.204899297612189, 'y': -0.042925851938699244, 'z': 0.7498210074451142, 'yaw': 0.0372261034716913, 'velocity': 0.0013829461822508393, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
