{'time': 1.0393831729888916, 'x': -2.033907831241699, 'y': -0.038783729785498426, 'z': 0.7476938997690056, 'yaw': -0.025194067069796766, 'velocity': 0.009928308054987076, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.049654483795166, 'x': -2.0339721914476887, 'y': -0.03885288560704411, 'z': 0.7475164096298255, 'yaw': -0.026926075642100145, 'velocity': 0.02168003515061391, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0603816509246826, 'x': -2.0339548136527306, 'y': -0.038867738176451436, 'z': 0.7475073156040575, 'yaw': -0.027145371487551806, 'velocity': 0.0024650815706264307, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0663647651672363, 'x': -2.0339071283870616, 'y': -0.038772668881161605, 'z': 0.7477141946130572, 'yaw': -0.025528953854164982, 'velocity': 0.03887902843908397, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0804157257080078, 'x': -2.03391338572551, 'y': -0.03877690823575122, 'z': 0.7477333911141758, 'yaw': -0.02556287971395843, 'velocity': 0.0014682876838895214, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0904126167297363, 'x': -2.0339088287611133, 'y': -0.0387919591266879, 'z': 0.7477054202837109, 'yaw': -0.025186282295186047, 'velocity': 0.0032098335436941366, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.09639310836792, 'x': -2.0339036098370533, 'y': -0.038764397860458426, 'z': 0.7477147040727664, 'yaw': -0.024919680846218206, 'velocity': 0.00494063189460941, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.109483242034912, 'x': -2.033920054459819, 'y': -0.03877063541561493, 'z': 0.747680660954518, 'yaw': -0.025066914150881914, 'velocity': 0.003816966779241275, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1194884777069092, 'x': -2.0339177971273745, 'y': -0.038768500781838335, 'z': 0.747690547483999, 'yaw': -0.02518810357291823, 'velocity': 0.0010357765533818544, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1294636726379395, 'x': -2.0339041869844503, 'y': -0.03878544399685643, 'z': 0.7477095234342385, 'yaw': -0.025672386172442607, 'velocity': 0.0028923003874719785, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1354477405548096, 'x': -2.033907961786723, 'y': -0.03876644765958164, 'z': 0.7477122780647162, 'yaw': -0.025089199560493824, 'velocity': 0.003269125209162679, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1464180946350098, 'x': -2.033960677437318, 'y': -0.03887528499968901, 'z': 0.7475369279440625, 'yaw': -0.027035823794374636, 'velocity': 0.035597178051057464, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1553940773010254, 'x': -2.0339098000498197, 'y': -0.0387810846430429, 'z': 0.7477020314141897, 'yaw': -0.025322006975788014, 'velocity': 0.03288487201372787, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1703870296478271, 'x': -2.0339118108912935, 'y': -0.03877613691516679, 'z': 0.7477013595800577, 'yaw': -0.02510666638925141, 'velocity': 0.00038448951255501, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.180406093597412, 'x': -2.0339220378547, 'y': -0.03878205460683334, 'z': 0.7477095949625816, 'yaw': -0.025701256258314764, 'velocity': 0.00143750737079538, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1863734722137451, 'x': -2.033930485115254, 'y': -0.03876407363501197, 'z': 0.7477042241373456, 'yaw': -0.025182385471737234, 'velocity': 0.003448672828583158, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1993093490600586, 'x': -2.033926105187369, 'y': -0.03877297502232623, 'z': 0.747691830564785, 'yaw': -0.025526999986091425, 'velocity': 0.0012272155804429607, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2102842330932617, 'x': -2.033926214587157, 'y': -0.038779161285107236, 'z': 0.7477045340751016, 'yaw': -0.025332451021558455, 'velocity': 0.0012874983170232293, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.21626877784729, 'x': -2.0339127296058654, 'y': -0.03876803066568002, 'z': 0.7477008061307475, 'yaw': -0.025756210734336094, 'velocity': 0.002987408908342004, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2262420654296875, 'x': -2.0339025748485176, 'y': -0.03876970981665763, 'z': 0.7476974221071861, 'yaw': -0.02500244030045984, 'velocity': 0.001086369815952278, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2402501106262207, 'x': -2.0339036028202764, 'y': -0.03877448220992675, 'z': 0.7477082538522023, 'yaw': -0.025611823645157017, 'velocity': 0.0008481584706801615, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.24623441696167, 'x': -2.0339132679281056, 'y': -0.03875913378160714, 'z': 0.7477051516731017, 'yaw': -0.025173889563449237, 'velocity': 0.0030749453710712162, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2598085403442383, 'x': -2.033922880195372, 'y': -0.03878062653261764, 'z': 0.7476900142084749, 'yaw': -0.025142172078385983, 'velocity': 0.0020620599891433616, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2657887935638428, 'x': -2.0339643476343587, 'y': -0.038852599560806014, 'z': 0.747512611960826, 'yaw': -0.02716712576806568, 'velocity': 0.03275542553674107, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.279775857925415, 'x': -2.033917804274442, 'y': -0.03877603929920676, 'z': 0.7476743838659389, 'yaw': -0.025609542056301393, 'velocity': 0.01850284011053856, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2897496223449707, 'x': -2.033913928803168, 'y': -0.03876891673106963, 'z': 0.7477031449895363, 'yaw': -0.025339510555302702, 'velocity': 0.0029960914769757573, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.299870491027832, 'x': -2.0339190821247692, 'y': -0.03876463689573639, 'z': 0.7476930295845872, 'yaw': -0.024952034824414326, 'velocity': 0.0011987508625303021, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3058629035949707, 'x': -2.0339547990372435, 'y': -0.03885802868707188, 'z': 0.7475270913746548, 'yaw': -0.026726519396877535, 'velocity': 0.032330034763857034, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.320791244506836, 'x': -2.033888027052556, 'y': -0.03879441008852456, 'z': 0.7476791059390707, 'yaw': -0.025316839808653846, 'velocity': 0.01763452124326784, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3304479122161865, 'x': -2.0339201908337636, 'y': -0.03879629251559629, 'z': 0.7476844298013816, 'yaw': -0.025696665019634857, 'velocity': 0.0033816755574311223, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
