{'time': 1.2800624370574951, 'x': -2.2011800748487267, 'y': -0.057066691357810354, 'z': 0.7497840406812019, 'yaw': -0.015522660590190362, 'velocity': 0.002400687983022003, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2901842594146729, 'x': -2.201177483281617, 'y': -0.05712438364249124, 'z': 0.7497478251481446, 'yaw': -0.016190169006529587, 'velocity': 0.007470703714575643, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.300781011581421, 'x': -2.2011808480801394, 'y': -0.05708299484622041, 'z': 0.7497961922721086, 'yaw': -0.015450578694808925, 'velocity': 0.006015750362081249, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.306729793548584, 'x': -2.2011907817361687, 'y': -0.05708651836074938, 'z': 0.7497931769598958, 'yaw': -0.015363148298713547, 'velocity': 0.0018428784556977036, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.316572904586792, 'x': -2.201177552235213, 'y': -0.05708791849215863, 'z': 0.7497853904873126, 'yaw': -0.015394467627640296, 'velocity': 0.002576449617036982, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.32659912109375, 'x': -2.201191388968421, 'y': -0.057076963209294174, 'z': 0.7497905807057724, 'yaw': -0.015471363763770896, 'velocity': 0.0018347870031420002, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3402934074401855, 'x': -2.2011733302504672, 'y': -0.05707267728975899, 'z': 0.7498066489922519, 'yaw': -0.015249734382461355, 'velocity': 0.0017926793962543472, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3462860584259033, 'x': -2.2011712860766584, 'y': -0.05706848715965348, 'z': 0.7497922110916911, 'yaw': -0.01530920979737882, 'velocity': 0.0025317634067101814, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3597462177276611, 'x': -2.2011879527316403, 'y': -0.057076309430589105, 'z': 0.749799143690599, 'yaw': -0.015225532986388401, 'velocity': 0.0014615712941679776, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3707160949707031, 'x': -2.2011987140723033, 'y': -0.057092036605814765, 'z': 0.7497954759055276, 'yaw': -0.015284194773282245, 'velocity': 0.0017690503797870123, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3806939125061035, 'x': -2.201186089335307, 'y': -0.05707606829230948, 'z': 0.7497780445881874, 'yaw': -0.015374487885488897, 'velocity': 0.002685924169632629, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3866736888885498, 'x': -2.2011822181206493, 'y': -0.057075643600086864, 'z': 0.7497927658417467, 'yaw': -0.015602772227141237, 'velocity': 0.0025465285507650154, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.400860071182251, 'x': -2.2011855754533456, 'y': -0.05707837735844386, 'z': 0.7498013832804112, 'yaw': -0.015870262027414483, 'velocity': 0.000679801855684956, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4108340740203857, 'x': -2.201177888038837, 'y': -0.0570777565544221, 'z': 0.7497986255526693, 'yaw': -0.015206381166797733, 'velocity': 0.0008212002191935747, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4199049472808838, 'x': -2.20117890130953, 'y': -0.05706921264008182, 'z': 0.7498040545295828, 'yaw': -0.015203925156325404, 'velocity': 0.0011215507654000238, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4309008121490479, 'x': -2.2011814816181787, 'y': -0.057078582154310026, 'z': 0.7497876885582092, 'yaw': -0.015412379392600428, 'velocity': 0.0019034864142522007, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4409990310668945, 'x': -2.2011764593979257, 'y': -0.0570899747954, 'z': 0.749783884283605, 'yaw': -0.015607330758091287, 'velocity': 0.0012892110528669473, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4509503841400146, 'x': -2.201173804774995, 'y': -0.057079657052655074, 'z': 0.749792258582646, 'yaw': -0.015559450198976421, 'velocity': 0.0015134024351533381, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.459925889968872, 'x': -2.2011684819217034, 'y': -0.057142182342741994, 'z': 0.7497409382188311, 'yaw': -0.016224629870062124, 'velocity': 0.009031796202468093, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4709362983703613, 'x': -2.2011864511581316, 'y': -0.05708598137953341, 'z': 0.7497863839893028, 'yaw': -0.01574302724845822, 'velocity': 0.007438088050420335, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.480940818786621, 'x': -2.201182257784034, 'y': -0.05708158660548246, 'z': 0.7497922053601934, 'yaw': -0.015540200344603683, 'velocity': 0.0008409686709443256, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4909136295318604, 'x': -2.2011767727981755, 'y': -0.057096609915305796, 'z': 0.7498043254578365, 'yaw': -0.015871175249493774, 'velocity': 0.002235803008677439, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4998464584350586, 'x': -2.2011855688149975, 'y': -0.05707268296729079, 'z': 0.7498032793397557, 'yaw': -0.015449149684190644, 'velocity': 0.0028562036861127355, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5105037689208984, 'x': -2.2011852373922673, 'y': -0.05707941935137527, 'z': 0.7497916852484073, 'yaw': -0.015403265107648778, 'velocity': 0.0013836370815059969, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5205419063568115, 'x': -2.2011585651540813, 'y': -0.057078229746820856, 'z': 0.7497972629400238, 'yaw': -0.015725473616074126, 'velocity': 0.0027171529977996467, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.530608892440796, 'x': -2.2011724816047864, 'y': -0.05706765753439005, 'z': 0.7497944352939375, 'yaw': -0.015266815180195792, 'velocity': 0.0017586287913551905, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5405151844024658, 'x': -2.201166725245926, 'y': -0.057136364887828264, 'z': 0.7497432500470621, 'yaw': -0.016173861763630448, 'velocity': 0.009569252849093091, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5505032539367676, 'x': -2.201166099916879, 'y': -0.05708259759570726, 'z': 0.749791377369911, 'yaw': -0.01580236964011128, 'velocity': 0.007224956691287531, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5604746341705322, 'x': -2.201189380757687, 'y': -0.05707263122267769, 'z': 0.7497904547449302, 'yaw': -0.01532096173464037, 'velocity': 0.0025413953071401593, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5664594173431396, 'x': -2.2011916632948374, 'y': -0.05707698352213423, 'z': 0.7498037908847094, 'yaw': -0.015383821152993526, 'velocity': 0.00237483126509268, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5804224014282227, 'x': -2.2011806854611953, 'y': -0.05707887815089891, 'z': 0.7497891009446419, 'yaw': -0.015639004317582916, 'velocity': 0.001848566968882937, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5904228687286377, 'x': -2.2011816586884847, 'y': -0.05708458934752054, 'z': 0.7497943591696663, 'yaw': -0.015432443880046165, 'velocity': 0.000782356363575462, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6003823280334473, 'x': -2.2011823850843792, 'y': -0.057068653845855584, 'z': 0.7497905482306632, 'yaw': -0.015326067274507693, 'velocity': 0.0016467710006273831, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6103627681732178, 'x': -2.201175783142048, 'y': -0.05708454419238138, 'z': 0.7497973995661692, 'yaw': -0.01544384478976113, 'velocity': 0.00205891713704347, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6203696727752686, 'x': -2.20117210704357, 'y': -0.0571512810819693, 'z': 0.74974857152696, 'yaw': -0.016622632267733195, 'velocity': 0.009187776759923102, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6304144859313965, 'x': -2.2011702637345056, 'y': -0.05709090094065982, 'z': 0.7497796488149308, 'yaw': -0.01571034051543929, 'velocity': 0.006763040222670554, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6403892040252686, 'x': -2.201192372804481, 'y': -0.05709071704388448, 'z': 0.7497876116752944, 'yaw': -0.015438183390243942, 'velocity': 0.0023559604412487067, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6504828929901123, 'x': -2.2011749225407375, 'y': -0.057096509242490864, 'z': 0.7498029293947043, 'yaw': -0.01563334673879435, 'velocity': 0.002370889546502791, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.660461187362671, 'x': -2.201172559358267, 'y': -0.05707568880229965, 'z': 0.7497958933585845, 'yaw': -0.015492601979659959, 'velocity': 0.002215195438857327, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6704964637756348, 'x': -2.2011795960874343, 'y': -0.057058026976218694, 'z': 0.749819403316425, 'yaw': -0.015118006747808721, 'velocity': 0.0030129022387645615, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6805787086486816, 'x': -2.2011805520070498, 'y': -0.05708054997544097, 'z': 0.7497963060014197, 'yaw': -0.015621628830873924, 'velocity': 0.003201186770385804, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
