{'time': 1.2794151306152344, 'x': -2.025243935300666, 'y': -0.04172540838380107, 'z': 0.7476035639200007, 'yaw': -0.022064770418848134, 'velocity': 0.0034821596009606995, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2895042896270752, 'x': -2.02523928619338, 'y': -0.04172585440223414, 'z': 0.7476321825188723, 'yaw': -0.021637867436529845, 'velocity': 0.0031900291671348576, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2999684810638428, 'x': -2.025239707444379, 'y': -0.041727378223311455, 'z': 0.7476015669270898, 'yaw': -0.02147791079663275, 'velocity': 0.0032157608695322303, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3099424839019775, 'x': -2.0252227526207434, 'y': -0.04170474991322996, 'z': 0.74760481574553, 'yaw': -0.021929461176240395, 'velocity': 0.002853576043059773, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.319915533065796, 'x': -2.0252542052410836, 'y': -0.04170823208978578, 'z': 0.7476065030045341, 'yaw': -0.021619687006529276, 'velocity': 0.00317753789047843, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.328956127166748, 'x': -2.0252530449699067, 'y': -0.04170979294311821, 'z': 0.7476193779233271, 'yaw': -0.021540727787585645, 'velocity': 0.0014402796905375165, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3398816585540771, 'x': -2.025239833920696, 'y': -0.041730848861683933, 'z': 0.7476330327982673, 'yaw': -0.022170884109072198, 'velocity': 0.002838594104930133, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3498523235321045, 'x': -2.025248778744973, 'y': -0.04173134751768425, 'z': 0.7476489598639019, 'yaw': -0.0218045276257115, 'velocity': 0.0020364986978983852, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.359828233718872, 'x': -2.0252649933995737, 'y': -0.04173449974386754, 'z': 0.7476615414008143, 'yaw': -0.021503572978909702, 'velocity': 0.002313537989155556, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3698005676269531, 'x': -2.0252240159880714, 'y': -0.04171279906865231, 'z': 0.7475830967076966, 'yaw': -0.02145805451162186, 'velocity': 0.010152822469326504, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3799142837524414, 'x': -2.0252532209428953, 'y': -0.041742299646405426, 'z': 0.7476246804131811, 'yaw': -0.02154413430046631, 'velocity': 0.006445220532211834, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3900113105773926, 'x': -2.025240229187556, 'y': -0.04172372922161152, 'z': 0.7476106753469722, 'yaw': -0.021718071758864532, 'velocity': 0.0029289933489849073, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3999907970428467, 'x': -2.0252500376790508, 'y': -0.0417141636464573, 'z': 0.7476240341647324, 'yaw': -0.022056331151837583, 'velocity': 0.0019174765897053947, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4099643230438232, 'x': -2.0252545971826237, 'y': -0.04171284816121963, 'z': 0.7476555788529443, 'yaw': -0.02166542781789982, 'velocity': 0.0031984313646494793, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
