{'time': 1.2835297584533691, 'x': -2.0285588461765176, 'y': -0.036358796599615134, 'z': 0.7476206670919922, 'yaw': -0.020344545730017316, 'velocity': 0.0035112316133976, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2977137565612793, 'x': -2.028503227733772, 'y': -0.036278154284206145, 'z': 0.7477841234823276, 'yaw': -0.01849461804824859, 'velocity': 0.01811364663426171, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.303664207458496, 'x': -2.0284954697593705, 'y': -0.03623120819812074, 'z': 0.7477708607999098, 'yaw': -0.01845331450649912, 'velocity': 0.008301313384742005, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3177728652954102, 'x': -2.028578763069562, 'y': -0.0363979120239295, 'z': 0.7476355289967686, 'yaw': -0.021149800836356647, 'velocity': 0.01632401015995487, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3277180194854736, 'x': -2.028542552278183, 'y': -0.03633706542324886, 'z': 0.7476505907373079, 'yaw': -0.02010071855556106, 'velocity': 0.007278973337570829, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3374481201171875, 'x': -2.0285246276727427, 'y': -0.03628179883860486, 'z': 0.7478029406337686, 'yaw': -0.019055077806927834, 'velocity': 0.01675755373208556, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3434526920318604, 'x': -2.028553832142642, 'y': -0.03634344554797618, 'z': 0.7476161064710735, 'yaw': -0.020045294642447864, 'velocity': 0.033124345852528436, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3533644676208496, 'x': -2.028542792276872, 'y': -0.036341863650632925, 'z': 0.7476279296322745, 'yaw': -0.020066870483771204, 'velocity': 0.0027196631585751137, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3637590408325195, 'x': -2.0285637078050898, 'y': -0.036383744367416156, 'z': 0.7476226054399581, 'yaw': -0.021085620293176177, 'velocity': 0.007898226779451095, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3737506866455078, 'x': -2.028557530100428, 'y': -0.036359966106746966, 'z': 0.7476629379151184, 'yaw': -0.020650684079092763, 'velocity': 0.004726530836827601, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3878915309906006, 'x': -2.0285526181233617, 'y': -0.036352889423751734, 'z': 0.7476329983581284, 'yaw': -0.02026841731008666, 'velocity': 0.0030948362461712354, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3983421325683594, 'x': -2.0285624777541025, 'y': -0.03636607512296667, 'z': 0.7476632667480747, 'yaw': -0.02055167527511248, 'velocity': 0.003297082950804633, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4083235263824463, 'x': -2.028529137450625, 'y': -0.03629329074106127, 'z': 0.7478235811865318, 'yaw': -0.019030292564217177, 'velocity': 0.017952627658808396, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.417327642440796, 'x': -2.0285028491998442, 'y': -0.03625288246610742, 'z': 0.74777556231623, 'yaw': -0.018397385890702722, 'velocity': 0.007556765359238093, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.427380084991455, 'x': -2.0284903056308927, 'y': -0.03626313960744726, 'z': 0.7477807988245266, 'yaw': -0.01875820017904939, 'velocity': 0.0016939701392766399, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4333925247192383, 'x': -2.0285577359822615, 'y': -0.0363609284117641, 'z': 0.7476518136716789, 'yaw': -0.02139300183432713, 'velocity': 0.029164082829566118, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.447594404220581, 'x': -2.028548103389777, 'y': -0.03633124949384451, 'z': 0.7476519591218596, 'yaw': -0.019899342405408582, 'velocity': 0.003161717678327463, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4576821327209473, 'x': -2.0285711518502385, 'y': -0.03640238553477291, 'z': 0.747643874489105, 'yaw': -0.020908412601748694, 'velocity': 0.008267101862351875, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4636657238006592, 'x': -2.028566913944572, 'y': -0.0363791416507132, 'z': 0.7476486285330162, 'yaw': -0.02090432757770433, 'velocity': 0.004027781938489738, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4736392498016357, 'x': -2.0285324093323696, 'y': -0.036284976072235596, 'z': 0.7478070725395762, 'yaw': -0.018872081700603616, 'velocity': 0.018801368713429894, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4836008548736572, 'x': -2.028551611646675, 'y': -0.03634048551450326, 'z': 0.7476550970285851, 'yaw': -0.020183943668238058, 'velocity': 0.01635592060688686, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4968633651733398, 'x': -2.028532597144537, 'y': -0.03633287254949584, 'z': 0.7476440087001202, 'yaw': -0.02001718475541736, 'velocity': 0.0017561351994534607, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5082213878631592, 'x': -2.028505618169372, 'y': -0.03626993717574536, 'z': 0.7478019574045071, 'yaw': -0.01783457120994303, 'velocity': 0.01515691685270307, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.517113208770752, 'x': -2.028509926318473, 'y': -0.036273550659228035, 'z': 0.7478011572668116, 'yaw': -0.018449273833807567, 'velocity': 0.0006387420884126541, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5280845165252686, 'x': -2.028518448113769, 'y': -0.03625301760730868, 'z': 0.7477958813705462, 'yaw': -0.018566621427191343, 'velocity': 0.002291974288345904, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5380573272705078, 'x': -2.0285550392049134, 'y': -0.03637431956416113, 'z': 0.7476316343119045, 'yaw': -0.020083254728734623, 'velocity': 0.020800268840870037, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5476107597351074, 'x': -2.0285607403920713, 'y': -0.03634776512953166, 'z': 0.7476541669606007, 'yaw': -0.019988509628748652, 'velocity': 0.003693927187429414, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5576674938201904, 'x': -2.028540870271598, 'y': -0.03633954263444804, 'z': 0.747633109881827, 'yaw': -0.020455220722723766, 'velocity': 0.0033238401668488895, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5633556842803955, 'x': -2.028579904681508, 'y': -0.036395725050738195, 'z': 0.7476559180226778, 'yaw': -0.02044402785375432, 'velocity': 0.012677761851084424, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5772414207458496, 'x': -2.028556409697683, 'y': -0.036349733813831525, 'z': 0.7476282262797161, 'yaw': -0.02007021256223318, 'velocity': 0.004220207496113681, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.587484359741211, 'x': -2.02856474477147, 'y': -0.036363283476052784, 'z': 0.7476286164223557, 'yaw': -0.019850225204002037, 'velocity': 0.001553544040576993, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5974833965301514, 'x': -2.028554027875696, 'y': -0.03634176461847629, 'z': 0.7476476158763439, 'yaw': -0.02013934689416086, 'velocity': 0.003064430183099044, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6074299812316895, 'x': -2.0285440505391206, 'y': -0.036346516427816486, 'z': 0.7476497636338089, 'yaw': -0.019977200861056588, 'velocity': 0.0011318334431229388, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6174037456512451, 'x': -2.0284973612532617, 'y': -0.03628039161677173, 'z': 0.7477756782428077, 'yaw': -0.018522713235625154, 'velocity': 0.016677970020265807, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6283750534057617, 'x': -2.028560731608239, 'y': -0.03636843222022253, 'z': 0.7476441528956211, 'yaw': -0.020575041776024428, 'velocity': 0.015539364046051472, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.63735032081604, 'x': -2.028521230997202, 'y': -0.036274872765702244, 'z': 0.7477904061672167, 'yaw': -0.01826088578358842, 'velocity': 0.019838439365285832, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6472373008728027, 'x': -2.028536612966171, 'y': -0.03627912083799456, 'z': 0.747795422708517, 'yaw': -0.01855134360820898, 'velocity': 0.0016918942508602735, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6574125289916992, 'x': -2.0285648028504495, 'y': -0.03636764261067482, 'z': 0.747623734717748, 'yaw': -0.020080054026547778, 'velocity': 0.021263055690579843, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.668327808380127, 'x': -2.0285509401624044, 'y': -0.036356459384793524, 'z': 0.747627759978777, 'yaw': -0.02006526513560214, 'velocity': 0.0016729189307574154, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6773741245269775, 'x': -2.0285644338421323, 'y': -0.03638102460505412, 'z': 0.7476424377327143, 'yaw': -0.02076536040229371, 'velocity': 0.0034973402009336055, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
