{'time': 1.286085605621338, 'x': -2.010113648378905, 'y': -0.027150519766403747, 'z': 0.7468996025281965, 'yaw': 0.005407462999555521, 'velocity': 0.0020231550588126965, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.295980453491211, 'x': -2.010101422337371, 'y': -0.02719087437594211, 'z': 0.7468901370195044, 'yaw': 0.004896108192743949, 'velocity': 0.0043674597484762365, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3059542179107666, 'x': -2.0100494316667707, 'y': -0.027157588891774363, 'z': 0.746874904421631, 'yaw': 0.0070321324728640396, 'velocity': 0.006375173028510217, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.315988302230835, 'x': -2.010078689703116, 'y': -0.027144580221526153, 'z': 0.7468964306330621, 'yaw': 0.006393371896869555, 'velocity': 0.0038451785257634847, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3249895572662354, 'x': -2.010062071036241, 'y': -0.02714097422588454, 'z': 0.7468919646866086, 'yaw': 0.00677779251292752, 'velocity': 0.001953287113093235, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3361668586730957, 'x': -2.0101146487300183, 'y': -0.027144330576738675, 'z': 0.7468593376244417, 'yaw': 0.006325625363150147, 'velocity': 0.0060873676018927785, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3459703922271729, 'x': -2.01006809519911, 'y': -0.027191267327299335, 'z': 0.7468723843126137, 'yaw': 0.006308290260690161, 'velocity': 0.006873366168161675, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3559436798095703, 'x': -2.0101063171647953, 'y': -0.027157911997858192, 'z': 0.7468586912104787, 'yaw': 0.005943302858211372, 'velocity': 0.005268593368823887, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.365938425064087, 'x': -2.010067980178561, 'y': -0.02715466985286595, 'z': 0.7468967219362408, 'yaw': 0.007014298574438203, 'velocity': 0.005412624339447346, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3758909702301025, 'x': -2.0100629379268753, 'y': -0.02715739595225952, 'z': 0.746891307923342, 'yaw': 0.00680492949127545, 'velocity': 0.0008781813304274122, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
