{'time': 1.2791509628295898, 'x': -2.0647234813991147, 'y': -0.014751995783727366, 'z': 0.7480848951806756, 'yaw': 2.4735319965002094, 'velocity': 0.018958792067669813, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2943520545959473, 'x': -2.0645729433076045, 'y': -0.014702486610692489, 'z': 0.7480870403814073, 'yaw': 2.4743841008322436, 'velocity': 0.015507617626310508, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3002433776855469, 'x': -2.0646431853370735, 'y': -0.014668161691214427, 'z': 0.7480703526484769, 'yaw': 2.475973319661769, 'velocity': 0.013569341300624033, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.314232349395752, 'x': -2.0646930981332554, 'y': -0.01476410378071105, 'z': 0.7480982956957298, 'yaw': 2.473997833988964, 'velocity': 0.007984891989669583, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3201851844787598, 'x': -2.064710835554244, 'y': -0.014626293749359622, 'z': 0.7480135783501137, 'yaw': 2.474388015463774, 'velocity': 0.027337688140975737, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3341917991638184, 'x': -2.064611379093891, 'y': -0.01445552625482198, 'z': 0.7479641485963473, 'yaw': 2.484853737399386, 'velocity': 0.014543608030704903, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3401753902435303, 'x': -2.064591558837949, 'y': -0.014725085335770672, 'z': 0.7481303555375493, 'yaw': 2.475886584827922, 'velocity': 0.0530284611521349, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3533098697662354, 'x': -2.0645857438036366, 'y': -0.01470160679804053, 'z': 0.7481057794488671, 'yaw': 2.47419861506815, 'velocity': 0.0026528843132091963, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3592939376831055, 'x': -2.0646442378023067, 'y': -0.01471037320842302, 'z': 0.7481711560883584, 'yaw': 2.4750826299242665, 'velocity': 0.01473275376152827, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3743855953216553, 'x': -2.064649451394733, 'y': -0.014677018118343122, 'z': 0.7480715660039174, 'yaw': 2.4759123506604293, 'velocity': 0.006967868473378453, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3834254741668701, 'x': -2.0646551281991816, 'y': -0.014680296329761084, 'z': 0.7480656826258962, 'yaw': 2.47555078527415, 'velocity': 0.0009743873434089332, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.389580249786377, 'x': -2.064576809748472, 'y': -0.014661820677371718, 'z': 0.7480870168165544, 'yaw': 2.4750000208886345, 'velocity': 0.013525803583723425, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4036681652069092, 'x': -2.064574817929706, 'y': -0.014736431867279921, 'z': 0.7481120436373346, 'yaw': 2.4742692706204337, 'velocity': 0.007777260924874906, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4136464595794678, 'x': -2.064655514633929, 'y': -0.014651442882131547, 'z': 0.7480647653783674, 'yaw': 2.475648208899947, 'velocity': 0.013904405393662849, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4245514869689941, 'x': -2.0645503686675934, 'y': -0.014775520361116226, 'z': 0.7480728819797702, 'yaw': 2.471510715219517, 'velocity': 0.014932536497274265, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4338059425354004, 'x': -2.0646070574357864, 'y': -0.014742252070469872, 'z': 0.7481300553791106, 'yaw': 2.4750397054704494, 'velocity': 0.0094134090236549, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4438939094543457, 'x': -2.064575686223452, 'y': -0.01464143659983711, 'z': 0.7480557584418618, 'yaw': 2.4753586791287887, 'velocity': 0.012797861491494658, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4498786926269531, 'x': -2.0646558250588445, 'y': -0.014696974550562047, 'z': 0.7480638820560161, 'yaw': 2.473306344503107, 'velocity': 0.01634814862157967, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
