{'time': 1.0464746952056885, 'x': -2.032322079458046, 'y': -0.03213640269790938, 'z': 0.7476224205874306, 'yaw': -0.08134481957698192, 'velocity': 0.0031284697242291142, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0564558506011963, 'x': -2.0323318398588786, 'y': -0.032134066123450336, 'z': 0.7476228604942541, 'yaw': -0.0815767942947705, 'velocity': 0.001118238530860176, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0674715042114258, 'x': -2.032334790779835, 'y': -0.032109596424352634, 'z': 0.7476455713984386, 'yaw': -0.08110297628935026, 'velocity': 0.0030424940399223, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0773239135742188, 'x': -2.0323226458988106, 'y': -0.03211521122144985, 'z': 0.7476384548734475, 'yaw': -0.08137680374409406, 'velocity': 0.0015381856322894418, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0833115577697754, 'x': -2.0323320238063762, 'y': -0.03212108522755942, 'z': 0.74762827758628, 'yaw': -0.08116202171030995, 'velocity': 0.0025108656529096622, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0964884757995605, 'x': -2.0323286641925558, 'y': -0.0321898100442031, 'z': 0.7474232084515994, 'yaw': -0.08364713863198059, 'velocity': 0.016415426756003784, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1066036224365234, 'x': -2.0322894627393344, 'y': -0.0320748935861944, 'z': 0.7475692673052527, 'yaw': -0.08149028472579456, 'velocity': 0.020834529028005484, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1175975799560547, 'x': -2.0323411121955, 'y': -0.03219500613221038, 'z': 0.7474381170711771, 'yaw': -0.08349692068973447, 'velocity': 0.018529107558782492, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1265716552734375, 'x': -2.032321711422029, 'y': -0.03211624141010035, 'z': 0.7476472490900329, 'yaw': -0.08093490550793536, 'velocity': 0.024995704650176278, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1366543769836426, 'x': -2.032290745640198, 'y': -0.032037751637931586, 'z': 0.7475974123060041, 'yaw': -0.08086771777055368, 'velocity': 0.010786649865203468, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1467087268829346, 'x': -2.0322972717045236, 'y': -0.032054709078057214, 'z': 0.7475948942811959, 'yaw': -0.08115295344627249, 'velocity': 0.0018244362459130462, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.156681776046753, 'x': -2.032316487319026, 'y': -0.03208923760890716, 'z': 0.7475851533917304, 'yaw': -0.08143204192005982, 'velocity': 0.004534002511364456, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1677043437957764, 'x': -2.032290880039229, 'y': -0.032060543775682265, 'z': 0.7475706585752556, 'yaw': -0.08106052618032056, 'velocity': 0.0037286680068399683, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
